verilog/v_hier_subprim.v:008: MODULE  'primitive' 'v_hier_prim' undef '0'
verilog/pinorder.v:037: PORT  'abcconst' 'module' '' '' '' '3'
verilog/pinorder.v:037: PORT  'noconnect' 'module' '' '' '' '4'
verilog/pinorder.v:037: PORT  'def' 'module' '' '' '' '5'
verilog/pinorder.v:039: VAR  'port' 'y' 'module' '' '' '' ''
verilog/pinorder.v:039: PORT  'y' 'module' 'input' '' '' '0'
verilog/pinorder.v:040: VAR  'port' 'x' 'module' '' '' '' ''
verilog/pinorder.v:040: PORT  'x' 'module' 'input' '' '' '0'
verilog/pinorder.v:041: VAR  'port' 'abcconst' 'module' '' '[2:0]' '' ''
verilog/pinorder.v:041: PORT  'abcconst' 'module' 'input' '[2:0]' '' '0'
verilog/pinorder.v:042: VAR  'port' 'noconnect' 'module' '' 'signed [3:0]' '' ''
verilog/pinorder.v:042: PORT  'noconnect' 'module' 'input' 'signed [3:0]' '' '0'
verilog/pinorder.v:043: VAR  'port' 'def' 'module' '' '[31:0]' '' ''
verilog/pinorder.v:043: PORT  'def' 'module' 'input' '[31:0]' '' '0'
verilog/pinorder.v:044: ENDMODULE  'endmodule'
verilog/parser_sv.v:001: PACKAGE  'package' 'mypackage'
verilog/parser_sv.v:002: VAR  'var' 'pkg_addr' 'package' '' 'bit [7:0]' '' ''
verilog/parser_sv.v:003: VAR  'var' 'pkg_data' 'package' '' 'bit [7:0]' '' ''
verilog/parser_sv.v:004: ENDPACKAGE  'endpackage'
verilog/parser_sv.v:006: MODULE  'module' 'times' undef '0'
verilog/parser_sv.v:007: VAR  'var' 'x' 'module' '' 'time' '' ''
verilog/parser_sv.v:009: ENDMODULE  'endmodule'
verilog/parser_sv.v:011: INTERFACE  'interface' 'itf'
verilog/parser_sv.v:011: VAR  'parameter' 'num_of_cli' 'interface' '' '' '' '0'
verilog/parser_sv.v:012: VAR  'var' 'blabla' 'interface' '' 'logic' '' ''
verilog/parser_sv.v:013: VAR  'var' 'addr' 'interface' '' 'logic [7:0]' '' ''
verilog/parser_sv.v:013: VAR  'var' 'data' 'interface' '' 'logic [7:0]' '' ''
verilog/parser_sv.v:015: ENDINTERFACE  'endinterface'
verilog/parser_sv.v:017: MODULE  'module' 'test' undef '0'
verilog/parser_sv.v:018: PORT  'whole_int' 'module' '' 'itf' '' '1'
verilog/parser_sv.v:018: INSTANT  'itf' 'whole_int' ''
verilog/parser_sv.v:019: PORT  'modported_int' 'module' '' 'itf' '' '2'
verilog/parser_sv.v:019: INSTANT  'itf' 'modported_int' ''
verilog/parser_sv.v:020: VAR  'port' 'clk' 'module' '' 'logic' '' ''
verilog/parser_sv.v:020: PORT  'clk' 'module' 'input' 'logic' '' '3'
verilog/parser_sv.v:020: VAR  'port' 'rst' 'module' '' 'logic' '' ''
verilog/parser_sv.v:020: PORT  'rst' 'module' 'input' 'logic' '' '4'
verilog/parser_sv.v:021: VAR  'port' 'd_in' 'module' '' 'logic' '' ''
verilog/parser_sv.v:021: PORT  'd_in' 'module' 'input' 'logic' '' '5'
verilog/parser_sv.v:022: VAR  'port' 'd_out' 'module' '' 'logic' '' ''
verilog/parser_sv.v:022: PORT  'd_out' 'module' 'output' 'logic' '' '6'
verilog/parser_sv.v:025: IMPORT  'mypackage' '*'
verilog/parser_sv.v:027: VAR  'var' 'd_int' 'module' '' 'logic' '' ''
verilog/parser_sv.v:028: VAR  'var' 'data_' 'module' '' 'logic [7:0]' '' ''
verilog/parser_sv.v:046: ENDMODULE  'endmodule'
verilog/parser_sv.v:049: MODULE  'module' 'line49_diff_pins1' undef '0'
verilog/parser_sv.v:050: VAR  'port' 'in_nw' 'module' '' '' '' ''
verilog/parser_sv.v:050: PORT  'in_nw' 'module' 'input' '' '' '1'
verilog/parser_sv.v:051: VAR  'port' 'in_vec' 'module' '' '[1:0]' '[2:0]' ''
verilog/parser_sv.v:051: PORT  'in_vec' 'module' 'input' '[1:0]' '[2:0]' '2'
verilog/parser_sv.v:052: VAR  'port' 'in_nvec' 'module' '' '' '' ''
verilog/parser_sv.v:052: PORT  'in_nvec' 'module' 'input' '' '' '3'
verilog/parser_sv.v:053: VAR  'port' 'out_logic' 'module' '' 'logic' '' ''
verilog/parser_sv.v:053: PORT  'out_logic' 'module' 'output' 'logic' '' '4'
verilog/parser_sv.v:054: VAR  'port' 'out_also_logic' 'module' '' '' '' ''
verilog/parser_sv.v:054: PORT  'out_also_logic' 'module' 'output' '' '' '5'
verilog/parser_sv.v:056: ENDMODULE  'endmodule'
verilog/parser_sv.v:057: MODULE  'module' 'line49_diff_pins2' undef '0'
verilog/parser_sv.v:057: PORT  'in2_nw' 'module' '' '' '' '1'
verilog/parser_sv.v:057: PORT  'in2_vec' 'module' '' '' '' '2'
verilog/parser_sv.v:057: PORT  'out2reg' 'module' '' '' '' '3'
verilog/parser_sv.v:059: VAR  'port' 'in2_nw' 'module' '' '' '' ''
verilog/parser_sv.v:059: PORT  'in2_nw' 'module' 'input' '' '' '0'
verilog/parser_sv.v:060: VAR  'port' 'in2_vec' 'module' '' '[1:0]' '[2:0]' ''
verilog/parser_sv.v:060: PORT  'in2_vec' 'module' 'input' '[1:0]' '[2:0]' '0'
verilog/parser_sv.v:061: VAR  'port' 'out2_reg' 'module' '' 'reg' '' ''
verilog/parser_sv.v:061: PORT  'out2_reg' 'module' 'output' 'reg' '' '0'
verilog/parser_sv.v:062: VAR  'port' 'in2_signed' 'module' '' 'signed' '' ''
verilog/parser_sv.v:062: PORT  'in2_signed' 'module' 'input' 'signed' '' '0'
verilog/parser_sv.v:064: VAR  'var' 'var1_imp' 'module' '' '' '' ''
verilog/parser_sv.v:065: VAR  'var' 'var1_imp_vec' 'module' '' '[1:0]' '[2:0]' ''
verilog/parser_sv.v:066: VAR  'var' 'var1_imp_reg' 'module' '' 'reg' '' ''
verilog/parser_sv.v:067: VAR  'var' 'var1_imp_logic' 'module' '' 'logic' '' ''
verilog/parser_sv.v:068: ENDMODULE  'endmodule'
verilog/parser_sv.v:070: PROGRAM  'program' 'first_prog'
verilog/parser_sv.v:071: VAR  'var' 'i' 'program' '' 'int' '' ''
verilog/parser_sv.v:072: ENDPROGRAM  'endprogram'
verilog/parser_sv.v:075: PACKAGE  'package' 'imp_test_pkg'
verilog/parser_sv.v:076: VAR  'typedef' 'byte_t' 'package' '' 'logic [7:0]' '' ''
verilog/parser_sv.v:077: VAR  'typedef' 'word_t' 'package' '' 'logic [15:0]' '' ''
verilog/parser_sv.v:078: FUNCTION  'function' 'afunc' ''
verilog/parser_sv.v:078: PORT  'w' 'function' '' 'integer' '' '1'
verilog/parser_sv.v:078: ENDTASKFUNC  'endfunction'
verilog/parser_sv.v:079: ENDPACKAGE  'endpackage'
verilog/parser_sv.v:080: MODULE  'module' 'imp_test_mod' undef '0'
verilog/parser_sv.v:081: IMPORT  'imp_test_pkg' 'byte_t'
verilog/parser_sv.v:082: VAR  'var' 'some_byte' 'module' '' 'byte_t' '' ''
verilog/parser_sv.v:083: ENDMODULE  'endmodule'
verilog/parser_sv.v:084: MODULE  'module' 'imp_test_mod2' undef '0'
verilog/parser_sv.v:085: IMPORT  'imp_test_pkg' '*'
verilog/parser_sv.v:086: VAR  'var' 'some_word' 'module' '' 'word_t' '' ''
verilog/parser_sv.v:087: ENDMODULE  'endmodule'
verilog/parser_sv.v:088: MODULE  'module' 'imp_test_mod3' undef '0'
verilog/parser_sv.v:089: VAR  'port' 'wordin' 'module' '' 'imp_test_pkg::word_t' '' ''
verilog/parser_sv.v:089: PORT  'wordin' 'module' 'input' 'imp_test_pkg::word_t' '' '1'
verilog/parser_sv.v:090: VAR  'localparam' 'FROM_FUNC' 'module' '' '' '' 'afunc(1)'
verilog/parser_sv.v:091: ENDMODULE  'endmodule'
verilog/parser_sv.v:093: MODULE  'module' 'var_unnamed_block' undef '0'
verilog/parser_sv.v:095: VAR  'var' 'var_in_unnamed' 'module' '' 'integer' '' ''
verilog/parser_sv.v:097: ENDMODULE  'endmodule'
verilog/parser_sv.v:099: MODULE  'module' 'cell_with_typeparam' undef '0'
verilog/parser_sv.v:100: INSTANT  'addr' 'acell' ''
verilog/parser_sv.v:100: PARAMPIN  'PARAMTYPE' 'integer' '1'
verilog/parser_sv.v:100: ENDCELL  ''
verilog/parser_sv.v:101: ENDMODULE  'endmodule'
verilog/parser_sv.v:103: MODULE  'module' 'arrayed_wire' undef '0'
verilog/parser_sv.v:104: VAR  'net' 'n2' 'module' 'wire' '[3:0][7:0]' '' ''
verilog/parser_sv.v:105: ENDMODULE  'endmodule'
verilog/parser_sv.v:107: TASK  'task' 'empty_task'
verilog/parser_sv.v:108: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:109: TASK  'task' 'empty_task2'
verilog/parser_sv.v:110: VAR  'var' 'i' 'task' '' 'integer' '' ''
verilog/parser_sv.v:111: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:113: TASK  'task' 'check_casts'
verilog/parser_sv.v:114: VAR  'typedef' 'integer_t' 'task' '' 'integer' '' ''
verilog/parser_sv.v:118: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:120: MODULE  'module' 'comma_assign' undef '0'
verilog/parser_sv.v:121: VAR  'var' 'n' 'module' '' 'int' '[1:2][1:3]' ''{'{0,1,2},'{3}}'
verilog/parser_sv.v:122: ENDMODULE  'endmodule'
verilog/parser_sv.v:124: TASK  'task' 'typed_pattern'
verilog/parser_sv.v:125: VAR  'typedef' 'triple' 'task' '' 'int' '[1:3]' ''
verilog/parser_sv.v:127: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:130: FUNCTION  'function' 'new' ''
verilog/parser_sv.v:131: FUNCTION  'function' 'copy' 'VclassWCopy'
verilog/parser_sv.v:131: VAR  'port' 'src' 'function' '' 'VclassWCopy' '' 'null'
verilog/parser_sv.v:131: PORT  'src' 'function' 'input' 'VclassWCopy' '' '1'
verilog/parser_sv.v:132: ENDTASKFUNC  'endfunction'
verilog/parser_sv.v:134: FUNCTION  'function' 'new' ''
verilog/parser_sv.v:135: ENDTASKFUNC  'endfunction'
verilog/parser_sv.v:138: FUNCTION  'function' 'FwdClass::ffunc' 'bit [3:0]'
verilog/parser_sv.v:138: PORT  'in' 'function' '' 'bit [3:0]' '' '1'
verilog/parser_sv.v:140: ENDTASKFUNC  'endfunction'
verilog/parser_sv.v:142: FUNCTION  'function' 'VclassWCopy::copy' 'VclassWCopy'
verilog/parser_sv.v:143: VAR  'port' 'to' 'function' '' 'VclassWCopy' '' ''
verilog/parser_sv.v:143: PORT  'to' 'function' 'input' 'VclassWCopy' '' '1'
verilog/parser_sv.v:145: ENDTASKFUNC  'endfunction'
verilog/parser_sv.v:147: TASK  'task' 'foreach_memref'
verilog/parser_sv.v:148: VAR  'var' 'mem' 'task' '' 'bit [0:52][7:0]' '' ''
verilog/parser_sv.v:151: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:155: FUNCTION  'function' 'new' ''
verilog/parser_sv.v:160: FUNCTION  'function' 'new' ''
verilog/parser_sv.v:162: ENDTASKFUNC  'endfunction'
verilog/parser_sv.v:167: VAR  'var' 's1' 'class' '' 'semaphore' '' ''
verilog/parser_sv.v:168: VAR  'var' 's2' 'class' '' 'std::semaphore' '' ''
verilog/parser_sv.v:169: PIN  '' 'integer' '1'
verilog/parser_sv.v:169: VAR  'var' 'm1' 'class' '' 'mailbox' '' ''
verilog/parser_sv.v:170: VAR  'var' 'm2' 'class' '' 'std::mailbox' '' ''
verilog/parser_sv.v:171: VAR  'var' 'p1' 'class' '' 'process' '' ''
verilog/parser_sv.v:172: VAR  'var' 'p2' 'class' '' 'std::process' '' ''
verilog/parser_sv.v:175: MODULE  'module' 'cg_test1' undef '0'
verilog/parser_sv.v:185: ENDMODULE  'endmodule'
verilog/parser_sv.v:187: TASK  'task' 'randomize_dotted'
verilog/parser_sv.v:188: VAR  'var' 'vbl' 'task' '' 'int' '' ''
verilog/parser_sv.v:190: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:192: MODULE  'module' 'prop_parens' undef '0'
verilog/parser_sv.v:194: ENDMODULE  'endmodule'
verilog/parser_sv.v:197: TASK  'task' 'ass'
verilog/parser_sv.v:199: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:202: MODULE  'module' 'sized_out' undef '0'
verilog/parser_sv.v:203: VAR  'parameter' 'SZ' 'module' '' '' '' '4'
verilog/parser_sv.v:204: VAR  'port' 'o_sized' 'module' '' 'logic [SZ-1:0]' '' ''
verilog/parser_sv.v:204: PORT  'o_sized' 'module' 'output' 'logic [SZ-1:0]' '' '1'
verilog/parser_sv.v:205: ENDMODULE  'endmodule'
verilog/parser_sv.v:208: VAR  'var' 'arrayed' 'class' '' 'rand byte' '' ''
verilog/parser_sv.v:209: VAR  'var' 'b' 'class' '' 'rand bit' '' ''
verilog/parser_sv.v:216: TASK  'task' 'examples'
verilog/parser_sv.v:220: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:221: FUNCTION  'function' 'foo1' 'bit'
verilog/parser_sv.v:222: FUNCTION  'function' 'foo2' 'void'
verilog/parser_sv.v:223: VAR  'var' 'foo3' 'class' '' 'protected static string' '' ''
verilog/parser_sv.v:224: FUNCTION  'function' 'foo4' 'bit'
verilog/parser_sv.v:225: VAR  'var' 'foo5' 'class' '' 'static local bit' '[string]' ''
verilog/parser_sv.v:229: VAR  'typedef' 'restart_e' 'class' '' 'int' '' ''
verilog/parser_sv.v:230: FUNCTION  'function' 'do_all' 'void'
verilog/parser_sv.v:230: PORT  'kind' 'function' '' 'vmm_cl_func_colon::restart_e' '' '1'
verilog/parser_sv.v:231: ENDTASKFUNC  'endfunction'
verilog/parser_sv.v:232: FUNCTION  'function' 'uses_class_type' 'int'
verilog/parser_sv.v:236: TASK  'task' 'do_reset'
verilog/parser_sv.v:236: PORT  'kind' 'task' '' 'vmm_cl_func_colon::restart_e' '' '1'
verilog/parser_sv.v:239: TASK  'task' 'empty_comma'
verilog/parser_sv.v:244: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:246: TASK  'task' 'vmm_more'
verilog/parser_sv.v:252: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:255: FUNCTION  'function' 'vmm_cl_func_colon::uses_class_type' 'int'
verilog/parser_sv.v:255: PORT  'note_uses_class_type' 'function' '' 'restart_e' '' '1'
verilog/parser_sv.v:256: VAR  'var' 'also_uses_class_type' 'function' '' 'restart_e' '' ''
verilog/parser_sv.v:257: ENDTASKFUNC  'endfunction'
verilog/parser_sv.v:259: MODULE  'module' 'hidden_checks' undef '0'
verilog/parser_sv.v:260: VAR  'typedef' 'T' 'module' '' 'int' '' ''
verilog/parser_sv.v:261: INSTANT  'sub' '' ''
verilog/parser_sv.v:261: PIN  'T' '123' '1'
verilog/parser_sv.v:261: ENDCELL  ''
verilog/parser_sv.v:262: TASK  'task' 'hidden'
verilog/parser_sv.v:263: VAR  'typedef' 'T' 'task' '' 'bit' '' ''
verilog/parser_sv.v:264: ENDTASKFUNC  'endtask'
verilog/parser_sv.v:265: ENDMODULE  'endmodule'
